Rank,Year,Nb of Crashes
105,2022,22
97,2021,113
96,2020,113
88,2019,145
93,2018,131
94,2017,129
86,2016,152
81,2015,175
84,2014,167
82,2013,173
80,2012,178
79,2011,180
76,2010,188
78,2009,182
70,2008,212
75,2007,195
69,2006,212
72,2005,211
74,2004,195
67,2003,225
65,2002,230
66,2001,229
63,2000,231
62,1999,234
56,1998,250
55,1997,252
48,1996,273
36,1995,295
57,1994,249
34,1993,299
40,1992,289
50,1991,269
42,1990,282
24,1989,337
33,1988,306
21,1987,341
46,1986,276
35,1985,296
41,1984,284
39,1983,289
31,1982,309
28,1981,320
13,1980,379
12,1979,383
9,1978,408
16,1977,372
32,1976,307
26,1975,332
29,1974,317
15,1973,372
14,1972,376
27,1970,330
30,1970,313
18,1969,364
22,1968,340
19,1967,353
43,1966,281
37,1965,293
47,1964,273
71,1963,211
53,1962,262
52,1961,262
61,1960,234
59,1959,242
49,1958,272
51,1957,264
58,1956,244
44,1955,280
38,1954,290
23,1953,337
10,1952,404
5,1951,491
7,1950,426
20,1949,351
11,1948,391
17,1947,371
8,1946,424
3,1945,737
1,1944,945
2,1943,816
4,1942,698
25,1941,335
6,1940,459
60,1939,239
73,1938,204
85,1937,165
68,1936,215
77,1935,183
91,1934,137
87,1933,151
89,1932,142
83,1931,171
54,1930,256
45,1929,278
64,1928,230
92,1927,133
99,1926,103
101,1925,71
103,1924,49
102,1923,67
98,1922,106
90,1921,138
95,1920,127
100,1919,83
104,1918,25